period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-10,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,357668,megawatthours
2026-03-10,PACE,PacifiCorp East,DF,Day-ahead demand forecast,Central,Central,139388,megawatthours
2026-03-10,PACE,PacifiCorp East,DF,Day-ahead demand forecast,Eastern,Eastern,139365,megawatthours
2026-03-10,PACE,PacifiCorp East,DF,Day-ahead demand forecast,Mountain,Mountain,139414,megawatthours
2026-03-10,PACW,PacifiCorp West,DF,Day-ahead demand forecast,Arizona,Arizona,61818,megawatthours
2026-03-10,PACW,PacifiCorp West,DF,Day-ahead demand forecast,Central,Central,61866,megawatthours
2026-03-10,PACW,PacifiCorp West,DF,Day-ahead demand forecast,Eastern,Eastern,61880,megawatthours
2026-03-10,PACW,PacifiCorp West,DF,Day-ahead demand forecast,Mountain,Mountain,61850,megawatthours
2026-03-10,PACW,PacifiCorp West,DF,Day-ahead demand forecast,Pacific,Pacific,61818,megawatthours
2026-03-10,PGE,Portland General Electric Company,DF,Day-ahead demand forecast,Arizona,Arizona,71161,megawatthours
2026-03-10,PGE,Portland General Electric Company,DF,Day-ahead demand forecast,Central,Central,71144,megawatthours
2026-03-10,PGE,Portland General Electric Company,DF,Day-ahead demand forecast,Eastern,Eastern,71104,megawatthours
2026-03-10,PGE,Portland General Electric Company,DF,Day-ahead demand forecast,Mountain,Mountain,71168,megawatthours
2026-03-10,PGE,Portland General Electric Company,DF,Day-ahead demand forecast,Pacific,Pacific,71161,megawatthours
2026-03-10,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,2044008,megawatthours
2026-03-10,PNM,Public Service Company of New Mexico,DF,Day-ahead demand forecast,Arizona,Arizona,34944,megawatthours
2026-03-10,PNM,Public Service Company of New Mexico,DF,Day-ahead demand forecast,Central,Central,34995,megawatthours
2026-03-10,PNM,Public Service Company of New Mexico,DF,Day-ahead demand forecast,Eastern,Eastern,35030,megawatthours
2026-03-10,PNM,Public Service Company of New Mexico,DF,Day-ahead demand forecast,Mountain,Mountain,34968,megawatthours
2026-03-10,PNM,Public Service Company of New Mexico,DF,Day-ahead demand forecast,Pacific,Pacific,34944,megawatthours
2026-03-10,PSCO,Public Service Company of Colorado,DF,Day-ahead demand forecast,Central,Central,100570,megawatthours
2026-03-10,PSCO,Public Service Company of Colorado,DF,Day-ahead demand forecast,Eastern,Eastern,100615,megawatthours
2026-03-10,PSCO,Public Service Company of Colorado,DF,Day-ahead demand forecast,Mountain,Mountain,100562,megawatthours
2026-03-10,PSEI,"Puget Sound Energy, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,25279,megawatthours
2026-03-10,PSEI,"Puget Sound Energy, Inc.",DF,Day-ahead demand forecast,Central,Central,25809,megawatthours
2026-03-10,PSEI,"Puget Sound Energy, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,26165,megawatthours
2026-03-10,PSEI,"Puget Sound Energy, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,25393,megawatthours
2026-03-10,PSEI,"Puget Sound Energy, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,25279,megawatthours
2026-03-10,SC,South Carolina Public Service Authority,DF,Day-ahead demand forecast,Eastern,Eastern,68614,megawatthours
2026-03-10,SCEG,"Dominion Energy South Carolina, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,59013,megawatthours
2026-03-10,SCL,Seattle City Light,DF,Day-ahead demand forecast,Arizona,Arizona,29875,megawatthours
2026-03-10,SCL,Seattle City Light,DF,Day-ahead demand forecast,Central,Central,29807,megawatthours
